"","real.identity","ID","sample.eu","sample.eu.val","sample.ieu","sample.ieu.val","sample.cos","sample.cos.val","bt.species.eu.score","bt.species.ieu.score","bt.species.cos.score","reference","species.cos","hits.cos","species.eu","hits.eu","species.ieu","hits.ieu"
"1","Chaetoceros_diadema","ID00440","ID00441",0.385330756594039,"ID00441",0.677192258071564,"ID00443",0.961643129459938,1,1,0.75,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"2","Chaetoceros_diadema","ID00441","ID00440",0.385330756594039,"ID00440",0.677192258071564,"ID00440",0.945753464671083,1,1,0.81,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"3","Chaetoceros_diadema","ID00442","ID00443",0.343315714409106,"ID00443",0.636763875740118,"ID00443",0.894869860276711,1,0.994,0.658,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"4","Chaetoceros_diadema","ID00443","ID00442",0.343315714409106,"ID00440",0.675341012603831,"ID00440",0.961643129459938,1,1,0.71,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"5","Chaetoceros_diadema","ID00444","ID00441",0.325618404141408,"ID00445",0.655810713968648,"ID00445",0.939147472576036,1,1,0.604,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"6","Chaetoceros_diadema","ID00445","ID00441",0.336343463525816,"ID00444",0.655810713968649,"ID00444",0.939147472576036,1,0.958,0.616,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"7","Chaetoceros_diadema","ID00446","ID00445",0.291381395516375,"ID00445",0.552215381498373,"ID00719",0.851934630177264,1,0.706,0.494,"diadema","granii",FALSE,"diadema",TRUE,"diadema",TRUE
"8","Chaetoceros_diadema","ID00447","ID00441",0.285675842783122,"ID00450",0.545310608695709,"ID00449",0.887824723229526,0.992,0.998,0.634,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"9","Chaetoceros_diadema","ID00448","ID00449",0.349731845652569,"ID00449",0.694224199861473,"ID00449",0.94313738958726,1,1,0.858,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"10","Chaetoceros_diadema","ID00449","ID00448",0.349731845652569,"ID00448",0.694224199861473,"ID00448",0.94313738958726,1,1,0.776,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"11","Chaetoceros_diadema","ID00450","ID00449",0.275335872288403,"ID00444",0.557286027365112,"ID00449",0.908384125592429,0.952,0.714,0.55,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"12","Chaetoceros_diadema","ID00451","ID00445",0.282581686334404,"ID00449",0.595667877305294,"ID00449",0.89818105204937,1,0.998,0.706,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"13","Chaetoceros_diadema","ID00452","ID00453",0.364318158640448,"ID00453",0.612927184465762,"ID00453",0.892238801079795,1,1,0.866,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"14","Chaetoceros_diadema","ID00453","ID00452",0.364318158640448,"ID00452",0.612927184465762,"ID00452",0.892238801079795,1,1,0.73,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"15","Chaetoceros_diadema","ID00454","ID00453",0.156296110160902,"ID00727",0.458497928837659,"ID00727",0.807058698907139,0.834,0.998,0.772,"diadema","granii",FALSE,"diadema",TRUE,"granii",FALSE
"16","Chaetoceros_diadema","ID00455","ID00440",0.281964012019193,"ID00440",0.624384056727062,"ID00440",0.909429147508304,1,1,0.922,"diadema","diadema",TRUE,"diadema",TRUE,"diadema",TRUE
"17","Chaetoceros_didymus","ID00069","ID00070",0.354961504109985,"ID00070",0.772478550824308,"ID00070",0.972496843454818,1,1,0.864,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"18","Chaetoceros_didymus","ID00070","ID00069",0.354961504109985,"ID00069",0.772478550824308,"ID00069",0.972496843454818,1,1,0.846,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"19","Chaetoceros_didymus","ID00071","ID00072",0.238756949645555,"ID00072",0.681538455249408,"ID00072",0.958268337810698,0.998,1,0.932,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"20","Chaetoceros_didymus","ID00072","ID00069",0.28725863092681,"ID00069",0.693344064603402,"ID00071",0.958268337810698,1,1,0.89,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"21","Chaetoceros_didymus","ID00073","ID00077",0.407431740466886,"ID00076",0.765818313412663,"ID00076",0.974007719451102,1,1,0.898,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"22","Chaetoceros_didymus","ID00074","ID00077",0.47309609482511,"ID00077",0.783291591884123,"ID00077",0.979007292786506,1,1,0.936,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"23","Chaetoceros_didymus","ID00075","ID00077",0.299306333469249,"ID00078",0.609250625582486,"ID00078",0.931559115601461,1,1,0.932,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"24","Chaetoceros_didymus","ID00076","ID00073",0.388771771109928,"ID00073",0.765818313412663,"ID00073",0.974007719451102,1,1,0.898,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
