real.identity,ID,sample.eu,sample.eu.val,sample.ieu,sample.ieu.val,sample.cos,sample.cos.val,bt.genus.eu.score,bt.genus.ieu.score,bt.genus.cos.score,reference,genus.cos,hits.cos,genus.eu,hits.eu,genus.ieu,hits.ieu
Ceratium_sp.,ID00210,ID00212,0.29235634,ID00212,0.558609814,ID00213,0.799061235,1,1,0.954,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00211,ID00710,0.242961508,ID00212,0.549541226,ID00692,0.889559079,1,1,0.922,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00212,ID00210,0.29235634,ID00210,0.558609814,ID00211,0.886642848,1,1,0.9,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00213,ID00219,0.307024323,ID00215,0.574812918,ID00215,0.888439939,1,1,0.812,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00214,ID00216,0.354410445,ID00216,0.566766008,ID00220,0.894742721,1,0.998,0.748,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00215,ID00217,0.335497343,ID00217,0.656969912,ID00217,0.943711243,1,1,0.732,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00216,ID00214,0.354410445,ID00214,0.566766008,ID00212,0.874993205,1,1,0.91,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00217,ID00215,0.335497343,ID00215,0.656969912,ID00215,0.943711243,0.998,1,0.66,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00218,ID00227,0.395677194,ID00227,0.715350582,ID00227,0.971982611,1,1,0.724,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00219,ID00225,0.435519465,ID00225,0.722856921,ID00225,0.962045089,1,1,0.724,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00220,ID00225,0.363175042,ID00222,0.731126722,ID00222,0.962035915,0.998,1,0.796,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00221,ID00336,0.288018386,ID00336,0.416065922,ID00225,0.70791314,0.77,0.27,0.394,Ceratium,Ceratium,TRUE,Pleurosigma,FALSE,Pleurosigma,FALSE
Ceratium_sp.,ID00222,ID00219,0.415786068,ID00220,0.731126722,ID00225,0.967632831,1,1,0.814,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00223,ID00219,0.292052264,ID00224,0.586017504,ID00224,0.845436128,0.994,0.99,0.778,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00224,ID00219,0.426992691,ID00219,0.674735466,ID00223,0.845436128,1,0.984,0.562,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00225,ID00219,0.435519465,ID00219,0.722856921,ID00222,0.967632831,1,1,0.812,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00226,ID00702,0.161954396,ID00434,0.35141115,ID00434,0.719706077,0.84,0.582,0.586,Ceratium,Guinardia ,FALSE,Ceratium,TRUE,Guinardia ,FALSE
Ceratium_sp.,ID00227,ID00218,0.395677194,ID00218,0.715350582,ID00218,0.971982611,1,1,0.622,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00691,ID00697,0.291698208,ID00705,0.624721517,ID00705,0.921967878,0.998,0.998,0.92,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00692,ID00707,0.332677239,ID00707,0.64511602,ID00707,0.947837533,1,1,0.882,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
