real.identity,ID,sample.eu,sample.eu.val,sample.ieu,sample.ieu.val,sample.cos,sample.cos.val,bt.genus.eu.score,bt.genus.ieu.score,bt.genus.cos.score,reference,genus.cos,hits.cos,genus.eu,hits.eu,genus.ieu,hits.ieu
Ceratium_sp.,ID00210,ID00212,0.175912289,ID00212,0.498407698,ID00213,0.783366991,1,1,0.974,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00211,ID00210,0.146455439,ID00707,0.503928211,ID00707,0.89129542,1,1,0.994,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00212,ID00217,0.202223621,ID00210,0.498407698,ID00211,0.870497021,1,1,0.916,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00213,ID00219,0.219685252,ID00214,0.513792136,ID00214,0.863053505,1,1,0.842,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00214,ID00216,0.277641985,ID00220,0.537135183,ID00220,0.90300089,1,1,0.764,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00215,ID00217,0.26783644,ID00217,0.601726778,ID00217,0.925187565,1,1,0.79,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00216,ID00214,0.277641985,ID00214,0.509383046,ID00212,0.870462717,1,1,0.908,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00217,ID00215,0.26783644,ID00215,0.601726778,ID00215,0.925187565,1,1,0.75,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00218,ID00227,0.343784805,ID00227,0.685412625,ID00227,0.970426712,1,1,0.716,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00219,ID00225,0.321520027,ID00225,0.653426121,ID00225,0.94981939,1,1,0.758,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00220,ID00218,0.300487142,ID00222,0.700142088,ID00222,0.966655951,1,1,0.88,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00221,ID00336,0.186698308,ID00225,0.337269709,ID00224,0.664909828,0.854,0.538,0.458,Ceratium,Ceratium,TRUE,Pleurosigma,FALSE,Ceratium,TRUE
Ceratium_sp.,ID00222,ID00219,0.318222567,ID00220,0.700142088,ID00220,0.966655951,1,1,0.884,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00223,ID00219,0.205119296,ID00219,0.477129316,ID00212,0.855612951,1,1,0.88,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00224,ID00219,0.30709847,ID00219,0.646454327,ID00219,0.943097216,1,1,0.704,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00225,ID00219,0.321520027,ID00220,0.656625209,ID00220,0.959864232,1,1,0.892,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00226,ID00216,0.09373297,ID00216,0.261212245,ID00216,0.4739662,0.756,0.988,0.796,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00227,ID00218,0.343784805,ID00218,0.685412625,ID00218,0.970426712,1,1,0.618,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00691,ID00693,0.204095314,ID00695,0.567959544,ID00695,0.937972501,1,1,0.902,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00692,ID00707,0.251476982,ID00707,0.617343452,ID00709,0.961554292,1,1,0.984,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
