real.identity,ID,sample.eu,sample.eu.val,sample.ieu,sample.ieu.val,sample.cos,sample.cos.val,bt.species.eu.score,bt.species.ieu.score,bt.species.cos.score,reference,species.cos,hits.cos,species.eu,hits.eu,species.ieu,hits.ieu
Chaetoceros_Chaetoceros_diadema,ID00566,ID00571,0.296131569,ID00567,0.498267945,ID00571,0.852412404,1,0.926,0.712,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00567,ID00568,0.351066809,ID00571,0.561512287,ID00571,0.859455607,1,1,0.97,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00568,ID00569,0.388504211,ID00569,0.657474917,ID00569,0.943913384,1,1,0.874,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00569,ID00572,0.406193863,ID00572,0.679972439,ID00572,0.954970761,1,0.996,0.712,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00570,ID00572,0.407759922,ID00572,0.650249986,ID00577,0.945252487,1,0.998,0.838,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00571,ID00567,0.325947551,ID00567,0.561512287,ID00572,0.888184214,1,0.998,0.98,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00572,ID00570,0.407759922,ID00569,0.679972439,ID00569,0.954970761,1,1,0.82,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00573,ID00574,0.250697076,ID00574,0.605892052,ID00574,0.954931038,1,1,0.444,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00574,ID00577,0.313359227,ID00575,0.611699314,ID00573,0.954931038,1,1,0.98,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00575,ID00574,0.300003899,ID00577,0.634030846,ID00574,0.951654348,1,1,0.972,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00576,ID00579,0.264920234,ID00602,0.459097446,ID00580,0.7795311,0.996,0.434,0.656,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Coscinodiscus _granii,FALSE
Chaetoceros_Chaetoceros_diadema,ID00577,ID00570,0.332523576,ID00570,0.639151691,ID00570,0.945252487,1,1,0.934,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00578,ID00566,0.015009855,ID00606,0.062478637,ID00579,0.138525844,0.76,0.65,0.89,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Coscinodiscus _granii,FALSE
Chaetoceros_Chaetoceros_diadema,ID00579,ID00580,0.298632967,ID00572,0.543718838,ID00572,0.906792717,0.988,0.89,0.854,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00580,ID00579,0.298632967,ID00579,0.523972984,ID00579,0.849461114,1,1,0.996,Chaetoceros_diadema,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE,Chaetoceros_diadema,TRUE
Chaetoceros_Chaetoceros_diadema,ID00581,ID00570,0.180481332,ID00602,0.410312516,ID00602,0.639466236,0.966,0.96,0.656,Chaetoceros_diadema,Coscinodiscus _granii,FALSE,Chaetoceros_diadema,TRUE,Coscinodiscus _granii,FALSE
Chaetoceros_Chaetoceros_didymus,ID00086,ID00092,0.271084686,ID00089,0.570072818,ID00089,0.898104978,1,1,1,Chaetoceros_didymus,Chaetoceros_didymus,TRUE,Chaetoceros_didymus,TRUE,Chaetoceros_didymus,TRUE
Chaetoceros_Chaetoceros_didymus,ID00087,ID00089,0.26879996,ID00089,0.551351735,ID00089,0.866722101,1,1,0.99,Chaetoceros_didymus,Chaetoceros_didymus,TRUE,Chaetoceros_didymus,TRUE,Chaetoceros_didymus,TRUE
