"","real.identity","ID","sample.eu","sample.eu.val","sample.ieu","sample.ieu.val","sample.cos","sample.cos.val","bt.species.eu.score","bt.species.ieu.score","bt.species.cos.score","reference","species.cos","hits.cos","species.eu","hits.eu","species.ieu","hits.ieu"
"28","Chaetoceros_didymus","ID00071","ID00074",0.31136677694798,"ID00072",0.723296608846761,"ID00072",0.966255501624568,0.904,1,0.776,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"29","Chaetoceros_didymus","ID00072","ID00074",0.32836560677482,"ID00069",0.735668146839452,"ID00069",0.972526483437164,0.99,1,0.826,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"30","Chaetoceros_didymus","ID00073","ID00077",0.51600449936174,"ID00076",0.801412859959542,"ID00076",0.981814905847082,1,1,0.926,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"31","Chaetoceros_didymus","ID00074","ID00077",0.596138441157889,"ID00077",0.818313116057853,"ID00077",0.988367169574924,1,1,0.886,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"32","Chaetoceros_didymus","ID00075","ID00077",0.383319128774522,"ID00073",0.685414582488781,"ID00078",0.941714363307128,1,1,0.95,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"33","Chaetoceros_didymus","ID00076","ID00073",0.469975587222702,"ID00073",0.801412859959542,"ID00073",0.981814905847082,1,1,0.896,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"34","Chaetoceros_didymus","ID00077","ID00074",0.596138441157889,"ID00074",0.818313116057853,"ID00074",0.988367169574924,1,1,0.912,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"35","Chaetoceros_didymus","ID00078","ID00076",0.417033070902387,"ID00074",0.729680075911965,"ID00076",0.971982899670077,0.998,1,0.914,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"36","Chaetoceros_didymus","ID00079","ID00247",0.242987899517805,"ID00247",0.460030052782032,"ID00247",0.703233548298619,0.708,0.944,0.752,"didymus","cf.wighamii",FALSE,"cf.wighamii",FALSE,"cf.wighamii",FALSE
"37","Chaetoceros_didymus","ID00080","ID00084",0.236158404086261,"ID00084",0.529268421868634,"ID00084",0.938719374878595,0.988,0.996,0.684,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
